stop_id,ZDEr_ID_REF_A
StopPoint:10:431,21734
StopPoint:10:432,3954
StopPoint:10:436,3955
StopPoint:10:44,3740
StopPoint:10:442,8517
StopPoint:10:444,8518
StopPoint:10:445,3958
StopPoint:10:45,3741
StopPoint:10:451,3959
StopPoint:10:452,3960
StopPoint:10:454,3961
StopPoint:10:455,3962
StopPoint:10:459,3964
StopPoint:10:46,3742
StopPoint:10:460,3965
StopPoint:10:461,3966
StopPoint:10:462,3967
StopPoint:10:463,3968
StopPoint:10:464,3969
StopPoint:10:465,3970
StopPoint:10:466,3971
StopPoint:10:47,3743
StopPoint:10:471,3973
StopPoint:10:472,3974
StopPoint:10:473,8520
StopPoint:10:474,3975
StopPoint:10:475,3976
StopPoint:10:476,8521
StopPoint:10:477,3977
StopPoint:10:480,3980
StopPoint:10:481,3981
StopPoint:10:482,8522
StopPoint:10:484,3982
StopPoint:10:485,3983
StopPoint:10:486,3984
StopPoint:10:490,3985
StopPoint:10:491,3986
StopPoint:10:494,3989
StopPoint:10:495,3990
StopPoint:10:496,3991
StopPoint:10:497,3992
StopPoint:10:50,3744
StopPoint:10:500,3993
StopPoint:10:501,3994
StopPoint:10:502,3995
StopPoint:10:503,3996
StopPoint:10:504,3997
StopPoint:10:505,3998
StopPoint:10:506,3999
StopPoint:10:507,3559
StopPoint:10:508,4001
StopPoint:10:509,4002
StopPoint:10:51,8474
StopPoint:10:510,4003
StopPoint:10:512,4004
StopPoint:10:513,4005
StopPoint:10:514,4006
StopPoint:10:515,4007
StopPoint:10:516,4008
StopPoint:10:517,8523
StopPoint:10:518,4009
StopPoint:10:519,4010
StopPoint:10:520,4011
StopPoint:10:521,4012
StopPoint:10:523,18199
StopPoint:10:525,18200
StopPoint:10:526,4013
StopPoint:10:527,8524
StopPoint:10:53,10381
StopPoint:10:534,426890
StopPoint:10:535,8525
StopPoint:10:536,4014
StopPoint:10:538,18201
StopPoint:10:540,4015
StopPoint:10:541,4016
StopPoint:10:542,4017
StopPoint:10:544,4018
StopPoint:10:545,8526
StopPoint:10:546,8527
StopPoint:10:547,4019
StopPoint:10:548,4020
StopPoint:10:549,4021
StopPoint:10:550,4022
StopPoint:10:551,4023
StopPoint:10:552,8528
StopPoint:10:553,4024
StopPoint:10:554,4025
StopPoint:10:555,4026
StopPoint:10:556,4027
StopPoint:10:557,4028
StopPoint:10:558,4029
StopPoint:10:559,423877
StopPoint:10:560,4031
StopPoint:10:561,4032
StopPoint:10:563,18202
StopPoint:10:566,10394
StopPoint:10:568,4033
StopPoint:10:569,4034
StopPoint:10:570,4035
StopPoint:10:571,9416
StopPoint:10:572,4037
StopPoint:10:573,4038
StopPoint:10:574,4039
StopPoint:10:575,4040
StopPoint:10:577,10395
StopPoint:10:578,10396
StopPoint:10:579,4041
StopPoint:10:58,3745
StopPoint:10:580,4042
StopPoint:10:581,4043
StopPoint:10:582,4044
StopPoint:10:583,4045
StopPoint:10:584,4046
StopPoint:10:585,4047
StopPoint:10:586,4048
StopPoint:10:587,4049
StopPoint:10:588,4050
StopPoint:10:589,4051
StopPoint:10:59,8475
StopPoint:10:590,4052
StopPoint:10:593,4054
StopPoint:10:594,4055
StopPoint:10:596,8529
StopPoint:10:597,9941
StopPoint:10:598,9942
StopPoint:10:599,9943
StopPoint:10:6,3716
StopPoint:10:600,9944
StopPoint:10:601,9945
StopPoint:10:604,9322
StopPoint:10:605,9323
StopPoint:10:606,9324
StopPoint:10:609,9946
StopPoint:10:612,21735
