@oname,@id,@lat,@lon,name,ref:FR:STIF
node,527360369,49.0429677,2.0324529,Rond-Point du Tilleul,9603
node,527377943,49.0550664,2.0600986,Rue de Gency,9020
node,527377944,49.0551808,2.0606359,Rue de Gency,8992
node,529869580,49.0525933,2.1161884,Epluches,8879
node,529965309,49.0425643,2.0679401,Les Linandes Vertes,8672
node,530556928,48.8461745,2.3546342,Jussieu,9138
node,535070360,48.8458450,2.3736979,Gare de Lyon - Diderot,39850
node,536777524,49.0609474,2.0937134,Hôpital Administration,8689
node,538390465,49.0640080,2.0889323,Croix Saint-Siméon,8695
node,538481819,49.0614434,2.0881149,Boblingen,9005
node,540661257,48.8895461,2.3352459,Square Caulaincourt,26342
node,544792482,49.0491177,2.0920984,Place Notre-Dame,9002
node,544792657,49.0502905,2.1029916,Quai du Pothuis,8681
node,544821344,49.0502196,2.1027987,Quai du Pothuis,8630
node,544826473,49.0515581,2.0993895,Cité Judiciaire,29577
node,544826494,49.0517578,2.0984125,Cité Judiciaire,8682
node,548892053,49.0547589,2.0926158,Cimetière,8684
node,548954053,49.0570352,2.0913648,Lycée Pissarro,8685
node,550179600,49.0526836,2.0953033,Citadelle,29576;8628
node,550179883,49.0544066,2.0926679,Cimetière,8627
node,551649058,49.0587937,2.0891970,Place de la Paix,8930
node,551649068,49.0586473,2.0892187,Place de la Paix,9006
node,551649197,49.0615856,2.0875619,Boblingen,8618
node,551871534,49.0604508,2.0975643,Maison de Retraite,9004
node,552091004,49.0592473,2.0920016,Charles Bouticourt,8622
node,552091107,49.0597450,2.0924069,Charles Bouticourt,8690
node,552146190,49.0629972,2.0919404,Alsace-Bretagne,8624
node,553034674,49.0496373,2.0852291,Eric de Martimprey,9000
node,553034689,49.0493652,2.0846332,Eric de Martimprey,9011
node,553035288,49.0493678,2.0817227,Marcouville,10372
node,553329560,48.7915706,2.2867824,Mairie de Fontenay-aux-Roses,36162
node,554915792,48.8181350,2.3257589,Gabriel Péri,37800
node,554936397,48.8184842,2.3253592,Gabriel Péri,36328
node,567069419,49.0365907,2.0853089,Lycée Kastler,8905
node,571720053,48.8273582,2.3050951,Porte de Vanves,26608;24885
