stop_area_id,lat,lon,name,osm:STIF:zone,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:alt_name,osm:alt_ref:FR:uic8,osm:alt_uic_ref,osm:amenity,osm:bus,osm:description,osm:line:SNCF,osm:metro,osm:name,osm:name:CIF,osm:name:RATP,osm:name:RER,osm:name:TZen1,osm:name:Tice,osm:name:de,osm:name:es,osm:name:fr,osm:name:it,osm:name:pt,osm:name:ru,osm:network,osm:official_name,osm:old_name,osm:old_name:1889-~1900,osm:old_name:2006-12-15-~2010,osm:old_name:~1900-2006-12-15,osm:old_name:~2010-2012,osm:opening_hours,osm:operator,osm:platforms,osm:public_transport,osm:public_transport:version,osm:rail,osm:railway,osm:ref,osm:ref:FR:RATP,osm:ref:FR:STIF,osm:ref:FR:uic8,osm:ref:structurae,osm:short_name,osm:site,osm:source,osm:source:name,osm:station,osm:subway,osm:train,osm:tram,osm:tramway,osm:type,osm:type:RATP,osm:uic_name,osm:uic_ref,osm:wheelchair,osm:wikidata,osm:wikipedia
StopArea:Relation:1837753,48.890506099999996,2.3599967,Marx Dormoy,,,,,,,,,,,,,Marx Dormoy,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865822,48.872967499999994,2.3332566999999997,Chaussée d'Antin - La Fayette (9),,,,,,,,,,,,,Chaussée d'Antin - La Fayette (9),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865828,48.8714412,2.3434953,Grands Boulevards,,,,,,,,,,,,,Grands Boulevards,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865829,48.871884599999994,2.3396056,Richelieu Drouot,,,,,,,,,,,,,Richelieu Drouot,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865842,48.8706233,2.3487497999999998,Bonne Nouvelle,,,,,,,,,,,,,Bonne Nouvelle,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865845,48.8693002,2.3542855,Strasbourg - Saint-Denis (4),,,,,,,,,,,,,Strasbourg - Saint-Denis (4),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865860,48.866493299999995,2.3607272,Temple,,,,,,,,,,,,,Temple,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865868,48.866238499999994,2.3525513,Réaumur - Sébastopol (3),,,,,,,,,,,,,Réaumur - Sébastopol (3),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1865873,48.8677211,2.3455641,Sentier,,,,,,,,,,,,,Sentier,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1871791,48.8646725,2.2937783,Iéna,,,,,,,,,,,,,Iéna,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1905380,48.826406399999996,2.406201,Liberté,,,,,,,,,,,,,Liberté,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
