route_short_name,osm_transport_mode,agency_name
PAZ - DDN,bus,SNCF
P PET-MUX,bus,SNCF
611,bus,Seine-Saint-Denis
610,bus,Seine-Saint-Denis
609,bus,Seine-Saint-Denis
616,bus,Seine-Saint-Denis
615,bus,Seine-Saint-Denis
613,bus,Seine-Saint-Denis
603,bus,Seine-Saint-Denis
602,bus,Seine-Saint-Denis
601,bus,Seine-Saint-Denis
607,bus,Seine-Saint-Denis
605,bus,Seine-Saint-Denis
604,bus,Seine-Saint-Denis
642,bus,Seine-Saint-Denis
640,bus,Seine-Saint-Denis
637,bus,Seine-Saint-Denis
645,bus,Seine-Saint-Denis
644,bus,Seine-Saint-Denis
643,bus,Seine-Saint-Denis
619,bus,Seine-Saint-Denis
618,bus,Seine-Saint-Denis
617,bus,Seine-Saint-Denis
627,bus,Seine-Saint-Denis
623,bus,Seine-Saint-Denis
620,bus,Seine-Saint-Denis
14,bus,TVS
1,bus,TVS
4,bus,TVS
3,bus,TVS
85-01,bus,CARS PERRON
7002,bus,CARS SOEUR
7001 SCO,bus,CARS SOEUR
7001,bus,CARS SOEUR
7006,bus,CARS SOEUR
7005,bus,CARS SOEUR
7004,bus,CARS SOEUR
3803,bus,VALBUS
3802,bus,VALBUS
3801,bus,VALBUS
NAVETTE,bus,Commune de Bouffemont
3805,bus,VALBUS
3804,bus,VALBUS
116,bus,CARS MOREAU
003,bus,CARS MOREAU
201,bus,CARS MOREAU
203,bus,CARS MOREAU
202,bus,CARS MOREAU
001,bus,CARS MOREAU
001,bus,CARS MOREAU
002,bus,CARS MOREAU
003,bus,CARS MOREAU
002,bus,VIAMO-MELUN
204,bus,CARS MOREAU
4 E,bus,CARS MOREAU
4 D,bus,CARS MOREAU
BRAY 11,bus,CARS MOREAU
BRAY 9,bus,CARS MOREAU
BRAY 3,bus,CARS MOREAU
4 A,bus,CARS MOREAU
211,bus,CARS MOREAU
4 B,bus,CARS MOREAU
4 C,bus,CARS MOREAU
4 B+D,bus,CARS MOREAU
15,bus,Paladin
16,bus,Paladin
17,bus,Paladin
14,bus,Paladin
1,bus,Paladin
11,bus,Paladin
12,bus,Paladin
18,bus,Paladin
7,bus,Paladin
8,bus,Paladin
9,bus,Paladin
6,bus,Paladin
2,bus,Paladin
3,bus,Paladin
4,bus,Paladin
12,bus,PROCARS
11,bus,PROCARS
10,bus,PROCARS
15,bus,Siyonne
14,bus,PROCARS
13,bus,PROCARS
08,bus,PROCARS
03,bus,PROCARS
02,bus,PROCARS
01,bus,PROCARS
07,bus,Seine et Marne Express
06,bus,PROCARS
05,bus,PROCARS
16,bus,PROCARS
PROBUS D,bus,PROCARS
PROBUS C,bus,PROCARS
PROBUS B,bus,PROCARS
VILLEFERM,bus,PROCARS
PROBUSsco,bus,PROCARS
PROBUS E,bus,PROCARS
PROBUS A,bus,PROCARS
47,bus,Seine et Marne Express
46,bus,PROCARS
17,bus,PROCARS
NANGIBUSV,bus,PROCARS
NANGIBUSR,bus,PROCARS
50,bus,Seine et Marne Express
12,bus,Valmy
13,bus,Valmy
10,bus,Valmy
11,bus,Valmy
14,bus,Valmy
37,bus,Valmy
SOISY BUS,bus,Valmy
15,bus,Valmy
16,bus,Valmy
254,bus,RATP
253,bus,RATP
255,bus,RATP
258,bus,RATP
256,bus,RATP
252,bus,RATP
248,bus,RATP
247,bus,RATP
249,bus,RATP
251,bus,RATP
250,bus,RATP
259,bus,RATP
270,bus,RATP
27,bus,RATP
272,bus,RATP
275,bus,RATP
274,bus,RATP
269,bus,RATP
260,bus,RATP
26,bus,RATP
261,bus,RATP
268,bus,RATP
262,bus,RATP
213,bus,RATP
212,bus,RATP
214,bus,RATP
216,bus,RATP
215,bus,RATP
211,bus,RATP
208B,bus,RATP
208A,bus,RATP
208S,bus,RATP
210,bus,RATP
21,bus,RATP
217,bus,RATP
239,bus,RATP
238,bus,RATP
24,bus,RATP
244,bus,RATP
241,bus,RATP
237,bus,RATP
220,bus,RATP
22,bus,RATP
221,bus,RATP
235,bus,RATP
234,bus,RATP
276,bus,RATP
323,bus,RATP
322,bus,RATP
325,bus,RATP
334,bus,RATP
330,bus,RATP
321,bus,RATP
318,bus,RATP
317,bus,RATP
319,bus,RATP
320,bus,RATP
32,bus,RATP
337,bus,RATP
351,bus,RATP
350,bus,RATP
353,bus,RATP
356,bus,RATP
355,bus,RATP
35,bus,RATP
341,bus,RATP
340,bus,RATP
346,bus,RATP
349,bus,RATP
347,bus,RATP
290,bus,RATP
29,bus,RATP
291,bus,RATP
294,bus,RATP
292,bus,RATP
289,bus,RATP
28,bus,RATP
278,bus,RATP
281,bus,RATP
286,bus,RATP
285,bus,RATP
297,bus,RATP
308,bus,RATP
306,bus,RATP
31,bus,RATP
312,bus,RATP
310,bus,RATP
304,bus,RATP
30,bus,RATP
299,bus,RATP
301,bus,RATP
303,bus,RATP
302,bus,RATP
132,bus,RATP
131,bus,RATP
133,bus,RATP
137,bus,RATP
134,bus,RATP
129,bus,RATP
125,bus,RATP
124,bus,RATP
126,bus,RATP
128,bus,RATP
127,bus,RATP
138,bus,RATP
147,bus,RATP
146,bus,RATP
148,bus,RATP
151,bus,RATP
150,bus,RATP
145,bus,RATP
140,bus,RATP
139,bus,RATP
141,bus,RATP
144,bus,RATP
143,bus,RATP
108,bus,RATP
107,bus,RATP
109,bus,RATP
111,bus,RATP
110,bus,RATP
106,bus,RATP
102,bus,RATP
101,bus,RATP
103,bus,RATP
105,bus,RATP
104,bus,RATP
112,bus,RATP
120,bus,RATP
119,bus,RATP
121,bus,RATP
123,bus,RATP
122,bus,RATP
118,bus,RATP
114,bus,RATP
113,bus,RATP
115,bus,RATP
117,bus,RATP
116,bus,RATP
152,bus,RATP
187,bus,RATP
186,bus,RATP
188,bus,RATP
190,bus,RATP
189,bus,RATP
185,bus,RATP
181,bus,RATP
180,bus,RATP
182,bus,RATP
184,bus,RATP
183,bus,RATP
191,bus,RATP
201,bus,RATP
20,bus,RATP
203,bus,RATP
207,bus,RATP
206,bus,RATP
199,bus,RATP
194,bus,RATP
192,bus,RATP
195,bus,RATP
197,bus,RATP
196,bus,RATP
164,bus,RATP
163,bus,RATP
165,bus,RATP
167,bus,RATP
166,bus,RATP
162,bus,RATP
157,bus,RATP
153,bus,RATP
158,bus,RATP
160,bus,RATP
159,bus,RATP
168,bus,RATP
176,bus,RATP
175,bus,RATP
177,bus,RATP
179,bus,RATP
178,bus,RATP
174,bus,RATP
170,bus,RATP
169,bus,RATP
171,bus,RATP
173,bus,RATP
172,bus,RATP
N41,bus,Noctilien
N35,bus,Noctilien
N42,bus,Noctilien
N44,bus,Noctilien
N43,bus,Noctilien
N34,bus,Noctilien
N24,bus,Noctilien
N23,bus,Noctilien
N31,bus,Noctilien
N33,bus,Noctilien
N32,bus,Noctilien
N45,bus,Noctilien
N71,bus,Noctilien
N66,bus,Noctilien
NAVETTE,bus,RATP
ORLYBUS,bus,RATP
NEY-FLA,bus,RATP
N63,bus,Noctilien
N52,bus,Noctilien
N51,bus,Noctilien
N53,bus,Noctilien
N62,bus,Noctilien
N61,bus,Noctilien
EOLIEN,bus,RATP
COLOMB,bus,RATP
HIRONDE,bus,RATP
MONTMAR,bus,RATP
MONAST,bus,RATP
CLAMIBU,bus,RATP
BATIGNO,bus,RATP
AUDONIE,bus,RATP
BIEVRES,bus,RATP
CHOISYB,bus,RATP
CHARONN,bus,RATP
N01,bus,Noctilien
N153,bus,Noctilien
N15,bus,Noctilien
N16,bus,Noctilien
N22,bus,Noctilien
N21,bus,Noctilien
N14,bus,Noctilien
N11,bus,Noctilien
N02,bus,Noctilien
N12,bus,Noctilien
N13,bus,Noctilien
N122,bus,Noctilien
PC,bus,RATP
TILLBUS,bus,RATP
THIAIS,bus,RATP
TIM,bus,RATP
TUC,bus,RATP
TUB,bus,RATP
SUBB,bus,RATP
PORT,bus,RATP
PETIT-F,bus,RATP
PTITBUS,bus,RATP
ROISSYB,bus,RATP
RIVER,bus,RATP
TUVIM,bus,RATP
V7,bus,RATP
V6,bus,RATP
V5,bus,RATP
V1,bus,RATP
TVM,bus,RATP
V2,bus,RATP
V4,bus,RATP
V3,bus,RATP
467,bus,RATP
46,bus,RATP
47,bus,RATP
48,bus,RATP
471,bus,RATP
459,bus,RATP
421,bus,RATP
42,bus,RATP
426,bus,RATP
45,bus,RATP
43,bus,RATP
485,bus,RATP
528,bus,RATP
520,bus,RATP
53,bus,RATP
545,bus,RATP
54,bus,RATP
52,bus,RATP
487,bus,RATP
486,bus,RATP
488,bus,RATP
512,bus,RATP
492,bus,RATP
378,bus,RATP
372,bus,RATP
379,bus,RATP
380,bus,RATP
38,bus,RATP
370,bus,RATP
361,bus,RATP
360,bus,RATP
366,bus,RATP
368,bus,RATP
367,bus,RATP
385,bus,RATP
395,bus,RATP
394,bus,RATP
396,bus,RATP
40,bus,RATP
399,bus,RATP
393,bus,RATP
389,bus,RATP
388,bus,RATP
39,bus,RATP
391,bus,RATP
390,bus,RATP
559A,bus,RATP
81,bus,RATP
80,bus,RATP
82,bus,RATP
84,bus,RATP
83,bus,RATP
77,bus,RATP
73,bus,RATP
72,bus,RATP
74,bus,RATP
76,bus,RATP
75,bus,RATP
85,bus,RATP
94,bus,RATP
93,bus,RATP
95,bus,RATP
AS-SURE,bus,RATP
96,bus,RATP
92,bus,RATP
87,bus,RATP
86,bus,RATP
88,bus,RATP
91,bus,RATP
89,bus,RATP
57,bus,RATP
565,bus,RATP
58,bus,RATP
595,bus,RATP
59,bus,RATP
564,bus,RATP
559C,bus,RATP
559B,bus,RATP
559D,bus,RATP
563,bus,RATP
56,bus,RATP
60,bus,RATP
68,bus,RATP
67,bus,RATP
69,bus,RATP
71,bus,RATP
70,bus,RATP
66,bus,RATP
62,bus,RATP
61,bus,RATP
63,bus,RATP
65,bus,RATP
64,bus,RATP
26,bus,Poissy Aval - Deux Rives de Seine
22,bus,Poissy Aval - Deux Rives de Seine
3,bus,Poissy Aval - Deux Rives de Seine
29,bus,Poissy Aval - Deux Rives de Seine
